,Step,Node ID,AE loss,Server model loss,Client fine tuned loss,AE fine tuned loss,Server f1,User f1
0,1,20,1.014360404339254,2.44559416257803,2.1870753702776837,0.8286106854249834,0.06334994135438439,0.196773578818163
1,2,11,0.8686498022703255,2.238905314529492,2.43632993202489,0.641554330746843,0.18133224752460878,0.13130671945489011
2,3,7,0.7518310397598381,2.4440552398772106,2.3274570042597773,0.6220602082487252,0.14117162582470677,0.16642550558209904
3,4,14,0.7535487043622163,2.510598104227882,2.4264337095513513,0.592242636854417,0.1543139201252551,0.15866323947519528
4,5,36,0.7357629764349897,2.6091232693242694,2.33928795608304,0.5545603697776639,0.16693927748703036,0.15594062134478348
5,6,24,0.6689445493785598,2.435767269255843,2.2037918417061024,0.5201324686749722,0.14797493173258514,0.2252664492923793
6,7,20,0.604898706870428,2.2661508590135973,2.048253525578651,0.4828038575579569,0.18668177004798192,0.2689509130211146
7,8,8,0.5435492628378396,2.0765466656871916,2.040774535879914,0.46873853943780164,0.2658987352821683,0.28477336390940666
8,9,19,0.5212183804190695,2.0863804006732924,2.224247008164247,0.44661582400904715,0.26943641164726295,0.2712032080443314
9,10,7,0.5081286162310867,2.3079366099262644,2.1044614038719858,0.4309680931369071,0.23524576568788141,0.255015529955738
10,11,47,0.49012117741784483,2.146135138977553,2.1502271377933058,0.4372654533004828,0.22803386565430322,0.2974450677447215
11,12,27,0.4685983825141656,2.228601147547603,2.0817041172085027,0.4176500206472567,0.2840154267236763,0.3314166113490625
12,13,49,0.4518781356619915,2.1775029482965285,2.1959483748152784,0.4241221052598399,0.2929301970273569,0.2268644920828295
13,14,19,0.43975930980310496,2.4312190973242234,2.1717369393005646,0.3991188910208133,0.19044149505872218,0.3048928042426766
14,15,27,0.4295988076948188,2.1865213570660016,2.1161055745478836,0.3944569879251153,0.2931479413164227,0.32127483097600756
15,16,25,0.4192739780798312,2.1989870342316222,2.4549815181458436,0.39122213321011523,0.31513386180214337,0.3027242187451017
16,17,46,0.4090601085908349,2.4379122011918475,2.289101463636689,0.3837580524148106,0.28925250444997463,0.32190625443734716
17,18,49,0.39875692129970797,2.319342244248091,2.200660796141112,0.3997465585409659,0.3133674730156159,0.23605555502824607
18,19,9,0.3916690197820431,2.1738493692993908,2.1640405825845166,0.3843904083425951,0.23694867258666624,0.30907227135457127
19,20,7,0.38792908935419584,2.2047480355396636,2.1569533773683816,0.3717672327356338,0.2980233084668655,0.2738279608412944
20,21,17,0.38786808771530745,2.1707211990294506,2.476818649971066,0.36747201176759764,0.26226040702885506,0.1949832934790452
21,22,19,0.38657615224982816,2.541746988215318,2.12681019702901,0.3704548398066071,0.18912560978631804,0.31312048159385825
22,23,4,0.3796132576355556,2.1784270864535222,2.2016591871235924,0.35808354808207526,0.3000791594036078,0.29318397423372045
23,24,46,0.37228665016869233,2.2529778054411245,2.172829868609107,0.35798206792528564,0.28049332307498503,0.3404236263553792
24,25,31,0.36514651251003916,2.146694844403412,2.1906985872578146,0.3542250720422744,0.3379542056870023,0.3362218847868605
